City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Port Alfred,-33.5906,26.891,65.17,92,100,5.01,ZA,2022-04-11 18:17:52
68,Upernavik,72.7868,-56.1549,15.93,92,100,8.03,GL,2022-04-11 18:16:56
69,Salvador,13.8333,-88.9167,87.04,29,43,2.04,SV,2022-04-11 18:14:19
70,Vastseliina,57.7303,27.2932,38.12,75,63,4.14,EE,2022-04-11 18:17:53
71,Hobe Sound,27.0595,-80.1364,80.01,56,40,12.66,US,2022-04-11 18:17:53
72,Codrington,-38.2667,141.9667,57.0,56,99,7.83,AU,2022-04-11 18:17:54
73,Busselton,-33.65,115.3333,57.04,85,8,9.17,AU,2022-04-11 18:17:54
74,Bonnyville,54.2668,-110.735,20.52,64,100,17.38,CA,2022-04-11 18:17:54
75,Thompson,55.7435,-97.8558,28.56,64,100,5.75,CA,2022-04-11 18:17:55
76,Airai,-8.9266,125.4092,58.5,65,83,1.99,TL,2022-04-11 18:17:55
77,Katangli,51.7102,143.2326,26.83,96,100,19.84,RU,2022-04-11 18:17:56
78,Tiksi,71.6872,128.8694,-9.02,99,70,8.48,RU,2022-04-11 18:17:56
79,Igpit,8.5108,124.5867,75.97,88,100,5.01,PH,2022-04-11 18:17:57
80,Ilulissat,69.2167,-51.1,28.42,59,75,3.44,GL,2022-04-11 18:17:57
81,Hithadhoo,-0.6,73.0833,84.11,67,65,11.25,MV,2022-04-11 18:17:57
82,Ust-Kulom,61.6864,53.6902,38.37,100,100,5.21,RU,2022-04-11 18:17:58
83,Ancud,-41.8697,-73.8203,54.23,91,100,9.44,CL,2022-04-11 18:17:01
84,Talcahuano,-36.7167,-73.1167,55.96,60,65,11.27,CL,2022-04-11 18:17:59
85,Erenhot,43.6475,111.9767,38.26,33,18,6.62,CN,2022-04-11 18:17:59
86,Fort-Shevchenko,44.5086,50.263,56.16,64,70,5.95,KZ,2022-04-11 18:18:00
87,Chokurdakh,70.6333,147.9167,-0.69,92,100,9.78,RU,2022-04-11 18:18:00
88,Iqaluit,63.7506,-68.5145,20.93,79,20,16.11,CA,2022-04-11 18:19:01
89,Kodiak,57.79,-152.4072,42.31,36,0,10.36,US,2022-04-11 18:19:01
90,Okhotsk,59.3833,143.3,10.18,96,96,5.99,RU,2022-04-11 18:19:03
91,Sarakhs,36.5449,61.1577,64.54,59,6,2.3,IR,2022-04-11 18:19:03
92,Bayburt,40.2589,40.2278,41.29,89,52,6.62,TR,2022-04-11 18:19:04
93,East London,-33.0153,27.9116,67.14,94,0,6.91,ZA,2022-04-11 18:16:30
94,Bathsheba,13.2167,-59.5167,84.81,65,40,23.02,BB,2022-04-11 18:19:05
95,Sistranda,63.7256,8.834,39.16,79,100,24.99,NO,2022-04-11 18:19:05
96,Victoria,22.2855,114.1577,77.18,83,1,5.01,HK,2022-04-11 18:19:03
97,Phalaborwa,-23.943,31.1411,70.88,67,55,5.12,ZA,2022-04-11 18:19:06
98,Cap Malheureux,-19.9842,57.6142,74.46,86,7,1.01,MU,2022-04-11 18:19:06
99,Maine-Soroa,13.2114,12.0241,94.26,7,91,10.51,NE,2022-04-11 18:19:07
100,Hobyo,5.3505,48.5268,83.3,72,37,12.37,SO,2022-04-11 18:19:07
101,Arraial Do Cabo,-22.9661,-42.0278,84.16,61,0,11.5,BR,2022-04-11 18:19:08
102,Daru,-9.0763,143.2092,82.72,81,63,11.05,PG,2022-04-11 18:19:08
103,Jamestown,42.097,-79.2353,63.99,48,100,9.22,US,2022-04-11 18:19:09
104,Serenje,-13.2325,30.2352,62.2,98,73,6.67,ZM,2022-04-11 18:19:09
105,Margate,51.3813,1.3862,59.11,73,100,5.99,GB,2022-04-11 18:19:10
106,Praia Da Vitoria,38.7333,-27.0667,66.45,77,75,13.18,PT,2022-04-11 18:15:49
107,Kapaa,22.0752,-159.319,76.98,87,20,11.5,US,2022-04-11 18:19:11
108,Gat,31.61,34.7642,63.81,100,0,8.63,IL,2022-04-11 18:19:11
109,Dolores,-36.3132,-57.6792,70.79,76,84,12.35,AR,2022-04-11 18:19:12
110,Saint-Francois,46.4154,3.9054,60.67,52,0,17.27,FR,2022-04-11 18:19:12
111,Pandan,14.0453,124.1694,79.34,89,100,13.94,PH,2022-04-11 18:19:13
112,Shahrud,36.4182,54.9763,62.92,32,3,5.73,IR,2022-04-11 18:19:14
113,Soe,-9.8607,124.284,63.27,70,92,3.49,ID,2022-04-11 18:19:14
114,San Cristobal,7.7669,-72.225,77.18,54,88,6.87,VE,2022-04-11 18:19:15
115,Yellowknife,62.456,-114.3525,14.52,62,100,14.97,CA,2022-04-11 18:19:15
116,Kutum,14.2,24.6667,83.41,8,3,10.71,SD,2022-04-11 18:19:16
117,Dolinsk,47.35,142.8,31.69,99,100,6.58,RU,2022-04-11 18:19:17
118,Vanimo,-2.6741,141.3028,77.7,89,27,7.56,PG,2022-04-11 18:19:17
119,Ponta Do Sol,32.6667,-17.1,67.71,60,94,13.6,PT,2022-04-11 18:19:17
120,Emba,48.8264,58.1442,54.43,69,69,6.13,KZ,2022-04-11 18:19:18
121,Grand Gaube,-20.0064,57.6608,77.4,86,8,1.01,MU,2022-04-11 18:19:18
122,Ibotirama,-12.1853,-43.2206,101.8,19,4,2.1,BR,2022-04-11 18:19:19
123,Naldurg,17.8167,76.3,93.9,26,100,14.67,IN,2022-04-11 18:19:19
124,Plattsburgh,44.6995,-73.4529,57.36,43,19,1.99,US,2022-04-11 18:19:20
125,Piracuruca,-3.9281,-41.7092,84.76,77,95,2.73,BR,2022-04-11 18:19:20
126,Dikson,73.5069,80.5464,4.89,85,99,12.68,RU,2022-04-11 18:19:21
127,Pleasanton,37.6624,-121.8747,56.79,91,100,23.02,US,2022-04-11 18:19:21
128,Avera,33.194,-82.5271,78.91,39,35,10.33,US,2022-04-11 18:19:21
129,Sibolga,1.7427,98.7792,76.46,87,100,2.82,ID,2022-04-11 18:19:22
130,Butaritari,3.0707,172.7902,80.02,78,95,7.52,KI,2022-04-11 18:19:23
131,Lavrentiya,65.5833,-171.0,19.42,100,99,5.06,RU,2022-04-11 18:19:23
132,Laiyang,36.9758,120.7136,61.38,77,94,4.05,CN,2022-04-11 18:19:24
133,Tasiilaq,65.6145,-37.6368,35.76,76,93,2.53,GL,2022-04-11 18:19:24
134,Ha Tinh,18.3333,105.9,71.4,96,32,3.71,VN,2022-04-11 18:19:24
135,Stutterheim,-32.5708,27.424,57.43,92,100,5.3,ZA,2022-04-11 18:20:25
